Name,Type,Aggregate,Website,text,Flesch Reading Ease Score,Gunning-Fog Index,FK_grade,Coleman-Liau Index,SMOG score,Overall
Mayo Clinic,Academic,W1,W1,"Overview
Carpal tunnel syndrome is caused by pressure on the median nerve. The carpal tunnel is a narrow passageway surrounded by bones and ligaments on the palm side of the hand. When the median nerve is compressed, symptoms can include numbness, tingling, and weakness in the hand and arm.

The anatomy of the wrist, health problems and possibly repetitive hand motions can contribute to carpal tunnel syndrome.

Proper treatment usually relieves the tingling and numbness and restores wrist and hand function.

Causes
Carpal tunnel syndrome is caused by pressure on the median nerve.

The median nerve runs from the forearm through a passageway in the wrist (carpal tunnel) to the hand. It provides sensation to the palm side of the thumb and fingers, except the little finger. It also provides nerve signals to move the muscles around the base of the thumb (motor function).

Anything that squeezes or irritates the median nerve in the carpal tunnel space may lead to carpal tunnel syndrome. A wrist fracture can narrow the carpal tunnel and irritate the nerve, as can the swelling and inflammation caused by rheumatoid arthritis.

Many times, there is no single cause of carpal tunnel syndrome. It may be that a combination of risk factors contributes to the development of the condition.

Risk factors
A number of factors have been associated with carpal tunnel syndrome. Although they may not directly cause carpal tunnel syndrome, they may increase the risk of irritation or damage to the median nerve. These include:

Anatomic factors. A wrist fracture or dislocation, or arthritis that deforms the small bones in the wrist, can alter the space within the carpal tunnel and put pressure on the median nerve.

People who have smaller carpal tunnels may be more likely to have carpal tunnel syndrome.

Sex. Carpal tunnel syndrome is generally more common in women. This may be because the carpal tunnel area is relatively smaller in women than in men.

Women who have carpal tunnel syndrome may also have smaller carpal tunnels than women who don't have the condition.

Nerve-damaging conditions. Some chronic illnesses, such as diabetes, increase the risk of nerve damage, including damage to the median nerve.
Inflammatory conditions. Rheumatoid arthritis and other conditions that have an inflammatory component can affect the lining around the tendons in the wrist and put pressure on the median nerve.
Medications. Some studies have shown a link between carpal tunnel syndrome and the use of anastrozole (Arimidex), a drug used to treat breast cancer.
Obesity. Being obese is a risk factor for carpal tunnel syndrome.
Body fluid changes. Fluid retention may increase the pressure within the carpal tunnel, irritating the median nerve. This is common during pregnancy and menopause. Carpal tunnel syndrome associated with pregnancy generally gets better on its own after pregnancy.
Other medical conditions. Certain conditions, such as menopause, thyroid disorders, kidney failure and lymphedema, may increase the chances of carpal tunnel syndrome.
Workplace factors. Working with vibrating tools or on an assembly line that requires prolonged or repetitive flexing of the wrist may create harmful pressure on the median nerve or worsen existing nerve damage, especially if the work is done in a cold environment.

However, the scientific evidence is conflicting and these factors haven't been established as direct causes of carpal tunnel syndrome.

Several studies have evaluated whether there is an association between computer use and carpal tunnel syndrome. Some evidence suggests that it is mouse use, and not the use of a keyboard, that may be the problem. However, there has not been enough quality and consistent evidence to support extensive computer use as a risk factor for carpal tunnel syndrome, although it may cause a different form of hand pain.",52.5,11.7,9.6,12,8.7,10
Johns Hopkins,Academic,W2,W2,"Carpal tunnel syndrome is when the median nerve is compressed as it passes through the carpal tunnel. The carpal tunnel is an opening in your wrist that is formed by the carpal bones on the bottom of the wrist and the transverse carpal ligament across the top of the wrist. The median nerve provides sensory and motor functions to the thumb and 3 middle fingers. If it gets compressed or irritated, you may have symptoms.

Most cases of carpal tunnel syndrome have no specific cause, although any or all of the following may be a contributing factor:

Frequent, repetitive, small movements with the hands (such as with typing or using a keyboard).

Frequent, repetitive, grasping movements with the hands (such as with sports and certain physical activities).

Joint or bone disease (for example, arthritis, osteoarthritis, or rheumatoid arthritis).

Hormonal or metabolic changes (for example, menopause, pregnancy, or thyroid imbalance).

Changes in blood sugar levels (may be seen with type 2 diabetes).

Other conditions or injuries of the wrist (for example, strain, sprain, dislocation, break, or swelling and inflammation).

Family history of carpal tunnel syndrome.",49.6,14.1,10.5,12,10.2,11
AAOS,Academic,W3,W3,"Carpal tunnel syndrome occurs when the tunnel becomes narrowed or when the tissue surrounding the flexor tendons (known as synovium) swells, putting pressure on the median nerve and reducing its blood supply.  

This abnormal pressure on the nerve can result in numbness, tingling, pain, and weakness in the hand.

Most cases of carpal tunnel syndrome are caused by a combination of factors. Studies show that women and older people are more likely to develop the condition.

Other risk factors for carpal tunnel syndrome include:

Heredity. This is likely an important factor. The carpal tunnel may be naturally smaller in some people, or there may be anatomic differences that change the amount of space for the nerve — and these traits can run in families.
Repetitive hand use. Repeating the same hand and wrist motions or activities over a prolonged period of time may aggravate the tendons in the wrist, causing swelling that puts pressure on the nerve.
Hand and wrist position. Doing activities that involve extreme flexion or extension of the hand and wrist for a prolonged period of time can increase pressure on the nerve.
Pregnancy. Hormonal changes during pregnancy can cause swelling that results in pressure on the nerve.
Health conditions. Diabetes, rheumatoid arthritis, and thyroid gland imbalance are conditions that are associated with carpal tunnel syndrome.",54.5,11.7,9.3,12,8.8,10
NIH,Government,W4,W4,"Carpal tunnel syndrome (CTS) is a common neurological disorder that occurs when the median nerve, which runs from your forearm into the palm of the hand, becomes pressed or squeezed at the wrist. You may feel numbness, weakness, pain in your hand and wrist, and your fingers may become swollen and useless. You might wake up and feel you need to “shake out” your hand or wrist.

The median nerve and the tendons that bend the fingers pass through the carpal tunnel—a narrow, rigid passageway of ligament and bones at the base of the hand. The median nerve provides feeling to the thumb, index, and middle finger, and part of the ring finger (but not the little finger). It also controls some small muscles at the base of the thumb.

Sometimes, thickening from the lining of irritated tendons or other swelling narrows the tunnel and compresses the median nerve. CTS is the most common and widely known of the entrapment neuropathies, in which one of the body's peripheral nerves is pressed on or squeezed.

You can sometimes treat carpal tunnel syndrome at home, but it may take months to heal. Your doctor can recommend treatments. CTS rarely recurs following treatment and home care.

Carpal tunnel syndrome is often the result of a combination of factors that increase pressure on the median nerve and tendons in the carpal tunnel, rather than a problem with the nerve itself. Sometimes no single cause can be identified. Contributing factors may include:

Trauma or injury to the wrist that cause swelling, such as sprain or fracture.
Imbalance of either the pituitary gland or the thyroid gland.
Rheumatoid arthritis or other arthritic diseases.
Mechanical problems in the wrist joint.
Repeated use of vibrating hand tools.
Fluid retention during pregnancy or menopause.
Development of a cyst or tumor in the canal.
Sex—women are three times more likely than men to develop CTS.
Having diabetes or other metabolic disorders that directly affect the body's nerves and make them more susceptible to compression.
Repeated sleeping on a bent wrist.
Increasing age—CTS usually occurs only in adults.
The risk of developing CTS is not confined to people in a single industry or job but may be more reported in those performing assembly line work—such as manufacturing, sewing, finishing, cleaning, and meatpacking—than it is among data-entry personnel. Many people who have CTS report never have working at these types of jobs.",57.4,11.7,9.1,11,8.5,9
Healthline,Private,W5,W5,"Carpal tunnel syndrome is the compression of the median nerve as it passes into the hand. The median nerve is located on the palm side of your hand (also called the carpal tunnel). The median nerve provides sensation (ability to feel) to your thumb, index finger, long finger, and part of the ring finger. It supplies the impulse to the muscle going to the thumb. Carpal tunnel syndrome can occur in one or both of your hands.

Swelling inside your wrist causes the compression in carpal tunnel syndrome. It can lead to numbness, weakness, and tingling on the side of your hand near the thumb.

The pain in your carpal tunnel is due to excess pressure in your wrist and on the median nerve. Inflammation can cause swelling. The most common cause of this inflammation is an underlying medical condition that causes swelling in the wrist, and sometimes obstructed blood flow. Some of the most frequent conditions linked with carpal tunnel syndrome are:

diabetes.
thyroid dysfunction.
fluid retention from pregnancy or menopause.
high blood pressure.
autoimmune disorders such as rheumatoid arthritis.
fractures or trauma to the wrist.
Carpal tunnel syndrome can be made worse if the wrist is overextended repeatedly. Repeated motion of your wrist contributes to swelling and compression of the median nerve. This may be the result of:

positioning of your wrists while using your keyboard or mouse.
prolonged exposure to vibrations from using hand tools or power tools.
any repeated movement that overextends your wrist, such as playing the piano or typing.",62.8,11,7.5,11,8,8
Cleveland Clinic,Academic,W6,W6,"Carpal tunnel syndrome is a common condition that causes pain, numbness, tingling, and weakness in the hand and wrist. It happens when there is increased pressure within the wrist on a nerve called the median nerve. This nerve provides sensation to the thumb, index, and middle fingers, and to half of the ring finger. The small finger (the “pinky”) is typically not affected.

Carpal tunnel syndrome was first described in the mid-1800s. The first surgery for the release of the carpal tunnel was done in the 1930s. It is a condition that has been well recognized by orthopaedic surgeons for over 40 years.

Carpal tunnel syndrome is caused when the space (the carpal tunnel) in the wrist narrows. This presses down on the median nerve and tendons (located inside the carpal tunnel), makes them swell, which cuts off sensation in the fingers and hand.",68.5,9.8,7.7,9,6.8,8
WebMD,Private,W7,W7,"Carpal tunnel syndrome, also called median nerve compression, is a condition that causes numbness, tingling, or weakness in your hand.

It happens because of pressure on your median nerve, which runs the length of your arm, goes through a passage in your wrist called the carpal tunnel, and ends in your hand. The median controls the movement and feeling of your thumb and the movement of all your fingers except your pinky.

Often, people don't know what brought on their carpal tunnel syndrome. It can be due to repetitive motions, like typing, or any wrist movements that you do over and over. This is especially true of things you do when your hands are lower than your wrists. This is especially true of things you do when your hands are lower than your wrists.",69.3,10.9,8.3,9,7.4,9
Mount Sinai,Academic,W8,W8,"Carpal tunnel syndrome is a condition in which there is excessive pressure on the median nerve. This is the nerve in the wrist that allows feeling and movement to parts of the hand. Carpal tunnel syndrome can lead to numbness, tingling, weakness, or muscle damage in the hand and fingers.

The median nerve provides feeling and movement to the thumb side of the hand. This includes the palm, thumb, index finger, middle finger, and thumb side of the ring finger.

The area in your wrist where the nerve enters the hand is called the carpal tunnel. This tunnel is normally narrow. Any swelling can pinch the nerve and cause pain, numbness, tingling, or weakness. This is called carpal tunnel syndrome.

Some people who develop carpal tunnel syndrome were born with a small carpal tunnel.

Carpal tunnel syndrome can also be caused by making the same hand and wrist motion over and over. Using hand tools that vibrate may also lead to carpal tunnel syndrome.

Studies have not proved that carpal tunnel is caused by typing on a computer, using a mouse, or repeating movements while working, playing a musical instrument, or playing sports. But, these activities may cause tendinitis or bursitis in the hand, which can narrow the carpal tunnel and lead to symptoms.

Carpal tunnel syndrome occurs most often in people ages 30 to 60. It is more common in women than men.

Other factors that may lead to carpal tunnel syndrome include:

Alcohol use.
Bone fractures and arthritis of the wrist.
Cyst or tumor that grows in the wrist.
Infections.
Obesity.
If your body keeps extra fluids during pregnancy or menopause.
Rheumatoid arthritis.
Diseases that have abnormal deposits of protein in the body (amyloidosis).",66.7,8.3,6.9,10,6.3,7
Medline Plus,Government,W9,W9,"Carpal tunnel syndrome is the name for a group of problems that includes numbness, tingling, weakness, or pain in your wrist or hand. It's a very common condition that happens when a nerve in your wrist becomes squeezed.

The carpal tunnel is a narrow opening between the bones in your wrist and the ligament that holds them together. A nerve, called the median nerve, runs from your lower arm through the carpal tunnel and into your hand. This nerve provides feeling to your thumb and first three fingers. It also helps you move your thumb.

Tendons also run from your lower arm, through the carpal tunnel, and into your hand. The tendons connect your finger bones to muscles in your arm, so you can bend your fingers.

If the tendons become swollen or irritated inside the carpal tunnel, they may press on the nerve. The squeezed nerve may not work well, which can lead to numbness, weakness, and other symptoms of carpal tunnel syndrome.
In certain cases, the cause of carpal tunnel syndrome is unknown. But it usually happens from a combination of things that affect the structures in your wrist, such as:

Injury to your wrist that causes swelling, such as a sprain or broken bone
Health conditions that can affect your nerves, joints, or other parts of your wrist, for example:
Diabetes.
Rheumatoid arthritis.
A cyst or tumor in your wrist.
Changes in certain hormones, which may cause swelling from extra fluid in your body. Examples include an underactive thyroid gland (hypothyroidism), pregnancy and menopause.
Problems with the way your wrist is formed.
Doing the same wrist and hand movements over and over, such as:
Assembly line work.
Carpentry or using tools that vibrate.
Knitting, gardening, or sports, such as golf.
Researchers aren't sure whether long-term typing or computer use leads to carpal tunnel syndrome.",68.6,8.7,7.3,10,6.5,8
AANS,Academic,W10,W10,"Carpal Tunnel Syndrome (CTS) is a common problem affecting hand function, caused by compression of the median nerve at the wrist. The carpal tunnel is formed by the multiple bones in the wrist and the transverse carpal ligament that forms the roof of the carpal tunnel. The median nerve and nine tendons run through the carpal tunnel. Carpal tunnel syndrome can result from inflammation and enlargement of the median nerve, inflammation and enlargement of the tendons, thickening of the transverse carpal ligament or by the presence of a mass lesion (for example, a tumor or cyst) within the carpal tunnel or a combination. Regardless of the direct cause, the end result is pressure on the median nerve and dysfunction.

Diseases or conditions that may increase the chances of developing CTS include broken or dislocation of wrist bones, pregnancy, diabetes, thyroid problems, menopause and/or obesity. Repetitive and forceful grasping with the hands or repetitive bending of the wrist may also contribute. Repetitive motions can cause significant swelling, thickening or irritation of the membranes around the tendons in the carpal tunnel, resulting in enlargement of the tendons and increased pressure on the median nerve. These repetitive movements include typing on a computer keyboard, talking on the phone (holding phone to the ear), texting or playing the piano. Professional artists (sculptors, printmakers, violinists) who engage in repetitive movements are frequently affected. Finally, jobs or hobbies requiring the use of vibratory tools (e.g., jack hammer) can place a person at risk of developing CTS symptoms.",40.5,15.7,12.4,13,11.4,13
