Name,Website,text
Mayo Clinic,W1,"Tennis elbow (lateral epicondylitis) is a painful condition that occurs when tendons in your elbow are overloaded, usually by repetitive motions of the wrist and arm.

Despite its name, athletes aren't the only people who develop tennis elbow. People whose jobs feature the types of motions that can lead to tennis elbow include plumbers, painters, carpenters and butchers.

The pain of tennis elbow occurs primarily where the tendons of your forearm muscles attach to a bony bump on the outside of your elbow. Pain can also spread into your forearm and wrist.

Rest and over-the-counter pain relievers often help relieve tennis elbow. If conservative treatments don't help or if symptoms are disabling, your doctor might suggest surgery.

Tennis elbow is an overuse and muscle strain injury. The cause is repeated contraction of the forearm muscles that you use to straighten and raise your hand and wrist. The repeated motions and stress to the tissue may result in a series of tiny tears in the tendons that attach the forearm muscles to the bony prominence at the outside of your elbow.

As the name suggests, playing tennis — especially repeated use of the backhand stroke with poor technique — is one possible cause of tennis elbow. However, many other common arm motions can cause tennis elbow, including:

Using plumbing tools
Painting
Driving screws
Cutting up cooking ingredients, particularly meat
Repetitive computer mouse use
Risk factors
Factors that may increase your risk of tennis elbow include:

Age. While tennis elbow affects people of all ages, it's most common in adults between the ages of 30 and 50.
Occupation. People who have jobs that involve repetitive motions of the wrist and arm are more likely to develop tennis elbow. Examples include plumbers, painters, carpenters, butchers and cooks.
Certain sports. Participating in racket sports increases your risk of tennis elbow, especially if you employ poor stroke technique."
Johns Hopkins,W2,"Lateral epicondylitis, commonly known as tennis elbow, is swelling of the tendons that bend your wrist backward away from your palm.

A tendon is a tough cord of tissue that connects muscles to bones. The tendon most likely involved in tennis elbow is called the extensor carpi radialis brevis. Tennis elbow is usually diagnosed in both men and women between the ages of 30 and 50 years.Tennis elbow, as the name implies, is often caused by the force of the tennis racket hitting balls in the backhand position. Your forearm muscles, which attach to the outside of your elbow, may become sore from excessive strain. When making a backhand stroke in tennis, the tendons that roll over the end of our elbow can become damaged. Tennis elbow may be caused by: Improper backhand stroke. Weak shoulder and wrist muscles. Using a tennis racket that is too tightly strung or too short. Other racquet sports, like racquetball or squash. Hitting the ball off center on the racket, or hitting heavy, wet balls. However, many people who suffer from tennis elbow do not play tennis. The problem can be caused by any repetitive movement. Other causes of tennis elbow include: Painting with a brush or roller. Operating a chain saw. Frequent use of other hand tools on a regular basis. Using repeated hand motions in various professions, such as meat cutters, musicians, dentists, and carpenters"
Cleveland Clinic,W3,"Tennis elbow is an overuse injury that occurs when tendons (tissues that attach muscles to bones) become overloaded, leading to inflammation, degeneration and potential tearing. It commonly affects tennis players who grip their racquets too tightly. But anyone can develop this painful condition, medically known as lateral epicondylitis. 

Repetitive arm movements can cause your forearm muscles to get fatigued. A single tendon attaches this muscle to the bony bump on the outside of your elbow (lateral epicondyle). As your muscle gets tired, the tendon takes more of the load. This overloading can cause inflammation and pain, known as tendinitis. Over time, this overloading can cause a degenerative condition known as tendinosis. Together tendinitis and tendinosis can then lead to tendon tearing.

Sometimes, a sudden arm or elbow injury causes tennis elbow. Rarely, people develop the condition for no known reason (idiopathic tennis elbow)."
WebMD,W4,"Tennis elbow is a type of tendinitis -- swelling of the tendons -- that causes pain in the elbow and arm. These tendons are bands of tough tissue that connect the muscles of your lower arm to the bone. Despite its name, you can still get tennis elbow even if you've never been near a tennis court. Instead, any repetitive gripping activities, especially if they use the thumb and first two fingers, may contribute to tennis elbow. Tennis elbow is the most common reason that people see their doctors for elbow pain. It can pop up in people of any age, but it's most common at about age 40.

Tennis elbow usually develops over time. Repetitive motions -- like gripping a racket during a swing -- can strain the muscles and put too much stress on the tendons. That constant tugging can eventually cause microscopic tears in the tissue.

Tennis elbow might result from:

Tennis
Racquetball
Squash
Fencing
Weight lifting
It can also affect people with jobs or hobbies that require repetitive arm movements or gripping such as:

Carpentry
Typing
Painting
Raking
Knitting"
AAOS,W5,"Tennis elbow, or lateral epicondylitis, is a painful condition of the elbow caused by overuse. Not surprisingly, playing tennis or other racquet sports can cause this condition. However, several other sports and activities besides sports can also put you at risk.

Tennis elbow is inflammation or, in some cases, microtearing of the tendons that join the forearm muscles on the outside of the elbow. The forearm muscles and tendons become damaged from overuse — repeating the same motions again and again. This leads to pain and tenderness on the outside of the elbow.

There are many treatment options for tennis elbow. In most cases, treatment involves a team approach. Primary doctors, physical therapists and, in some cases, surgeons work together to provide the most effective care.

Overuse
Recent studies show that tennis elbow is often due to damage to a specific forearm muscle. The ECRB muscle helps stabilize the wrist when the elbow is straight. This occurs during a tennis groundstroke, for example. When the ECRB is weakened from overuse, microscopic tears form in the tendon where it attaches to the lateral epicondyle. This leads to inflammation and pain.

The ECRB may also be at increased risk for damage because of its position. As the elbow bends and straightens, the muscle rubs against bony bumps. This can cause gradual wear and tear of the muscle over time.

Activities
Athletes are not the only people who get tennis elbow. Many people with tennis elbow participate in work or recreational activities that require repetitive and vigorous use of the forearm muscle or repetitive extension of the wrist and hand.

Painters, plumbers, and carpenters are particularly prone to developing tennis elbow. Studies have shown that auto workers, cooks, and even butchers get tennis elbow more often than the rest of the population. It is thought that the repetition and weight lifting required in these occupations leads to injury.

Age
Most people who get tennis elbow are between the ages of 30 and 50, although anyone can get tennis elbow if they have the risk factors. In racquet sports like tennis, improper stroke technique and improper equipment may be risk factors.

Unknown
Lateral epicondylitis can occur without any recognized repetitive injury. This occurence is called idiopathic, or of an unknown cause."
Medical News Today,W6,"Tennis elbow is an inflammation of the tendons that join the muscles of the forearm to the outside of the elbow. It often occurs due to overusing the forearm muscles and tendons and those around the elbow joint.

Tennis elbow is also known as lateral elbow pain or lateral epicondylitis and is not necessarily related to tennis. However, tennis players often develop the condition because it stems from repetitive muscle use. Half of all tennis players will get tennis elbow in their career.

Tennis elbow is thought to affect between 1 and 3 percentTrusted Source of the population in the United States (U.S.). It usually occurs between the ages of 30 and 50 yearsTrusted Source.

The cause of tennis elbow stems from repeating incorrect movements of the arm. This can lead to small tears in the tendon attachment at the elbow. In tennis, this translates to the repeated motion and force of hitting a ball with a racquet.

Incorrect technique can cause the power in the swing of a racquet to rotate through and around the wrist. This creates a movement on the wrist instead of the elbow joint or shoulder. This can increase pressure on the tendon and cause irritation and inflammation.

Most often, the extensor muscles become painful due this tendon breakdown. The extensor muscles are those that straighten the wrist.

Tennis elbow is associated with the extension of the fingers and the wrist. This is the kind of movement that allows the person to “snap” or flick the wrist, such as during a racquet swing.

Despite the name, tennis elbow refers to any injury to this particular tendon caused by overuse. Tennis elbow can stem from daily activities such as:

using scissors
cutting tough food
gardening
sporting activities that involve high amounts of throwing
swimming
manual work that involves repetitive turning or lifting of the wrist, such as plumbing, typing, or bricklaying.
Sometimes, there is no apparent cause."
Knox Orthopedic,W7,"Tennis elbow, or lateral epicondylitis, is a painful condition of the elbow caused by overuse. Not surprisingly, playing tennis or other racquet sports can cause this condition. But several other sports and activities can also put you at risk.

Tennis elbow is an inflammation of the tendons that join the forearm muscles on the outside of the elbow. The forearm muscles and tendons become damaged from overuse — repeating the same motions again and again. This leads to pain and tenderness on the outside of the elbow.

There are many treatment options for tennis elbow. In most cases, treatment involves a team approach. Primary doctors, physical therapists, and, in some cases, surgeons work together to provide the most effective care.

Overuse

Recent studies show that tennis elbow is often due to damage to a specific forearm muscle. The extensor carpi radialis brevis (ECRB) muscle helps stabilize the wrist when the elbow is straight. This occurs during a tennis groundstroke, for example. When the ECRB is weakened from overuse, microscopic tears form in the tendon where it attaches to the lateral epicondyle. This leads to inflammation and pain.

The ECRB may also be at increased risk for damage because of its position. As the elbow bends and straightens, the muscle rubs against bony bumps. This can cause gradual wear and tear of the muscle over time.

Activities
Athletes are not the only people who get tennis elbow. Many people with tennis elbow participate in work or recreational activities that require repetitive and vigorous use of the forearm muscle.

Painters, plumbers, and carpenters are particularly prone to developing tennis elbow. Studies have shown that auto workers, cooks, and even butchers get tennis elbow more often than the rest of the population. It is thought that the repetition and weight lifting required in these occupations leads to injury.

Age
Most people who get tennis elbow are between the ages of 30 and 50, although anyone can get tennis elbow if they have the risk factors. In racquet sports like tennis, improper stroke technique and improper equipment may be risk factors.

Unknown
Lateral epicondylitis can occur without any recognized repetitive injury. This occurence is called “insidious” or of an unknown cause.

The symptoms of tennis elbow develop gradually. In most cases, the pain begins as mild and slowly worsens over weeks and months. There is usually no specific injury associated with the start of symptoms."
Mount Sinai,W8,"Tennis elbow is soreness or pain on the outside (lateral) side of the upper arm near the elbow.

The part of the muscle that attaches to a bone is called a tendon. Some of the muscles in your forearm attach to the bone on the outside of your elbow.

When you use these muscles over and over again, small tears develop in the tendon. Over time, the tendon cannot heal, and this leads to irritation and pain where the tendon is attached to the bone.

This injury is common in people who play a lot of tennis or other racket sports, hence the name ""tennis elbow."" Backhand is the most common stroke to cause symptoms.

But any activity that involves repetitive twisting of the wrist (like using a screwdriver) can lead to this condition. Painters, plumbers, construction workers, cooks, and butchers are all more likely to develop tennis elbow.

This condition may also be due to repetitive typing on the computer keyboard and mouse use.

People between 35 to 54 years old are commonly affected.

Sometimes, there is no known cause of tennis elbow."
Family Doctor,W9,"Tennis elbow is another name for lateral epicondylitis. It occurs when the tendons that attach the muscle to the bone on the outside part of the elbow swell or tear. This weakens the elbow connection and puts great stress on the area. Tennis elbow often causes pain when you use the muscles to lift, grip, or twist.

Overuse causes most cases of tennis elbow. It occurs when repeated movements cause swelling and pain in your joint and tendons. Any type of repeated motion or stress on the tendons can cause it. Playing tennis is only one of the ways you can get tennis elbow. People who play other racquet sports, such as racquetball or squash, and fencing are at risk. Certain jobs can lead to tennis elbow. Examples include painters, butchers, carpenters, musicians, manicurists, and dentists. People who work on an assembly line or use computers are at risk as well.

In some cases, the tendons can swell after a direct blow to the elbow. In other cases, the condition isn’t related to an activity at all.

Tennis elbow can occur at any age. It is most common in people 30 to 50 years of age. It affects both men and women."
Ortho Atlanta,W10,"Repetitive Gripping Activities
This is a broad category of potential causes. Historically it’s included activities and occupations that involve repeated use of a muscle.

Landscaping
The grip-action of hedge clipping, raking, hand-weeding, and even holding a small power tool stable over time can cause elbow tendonitis in Atlanta.

Painting
Full-time painters often complain of pain radiating from the elbow. Their days are full of repetitive wrist and elbow action as they scrape, prime, and re-paint surfaces.

Construction
Hired laborers on a construction site spend hours hammering, using screwdrivers, and handsaws.

Sports
This injury is aptly named, for tennis players make up the majority of athletes who develop elbow injury in Atlanta. Baseball, basketball, and volleyball players can fall victim to tennis elbow or elbow tendonitis, too, if they’re not careful about using the correct form. The injury worsens over time if you continue to use the muscle incorrectly.

Hobbies
Hobbies are meant to be relaxing, but some of the most trending hobbies of the 2010’s can cause more stress than calm:

Knitting
Crocheting
Tatting
These project-based crafts have recently become a popular pastime. The repetitive motion involved can be a double whammy to your forearm muscles, as you’re simultaneously rotating and flexing. The result can often be an elbow tendonitis condition in Atlanta.

The Workplace
Whatever you do for work, chances are the great majority of it is computer based. Small muscle injuries aren’t exclusive to front-desk secretaries. Pay attention to how much you’re typing in a day and how you move your wrist when manipulating the touch-pad or the hand-driven mouse.

Communication
The primary cause of tennis elbow is defined as, “repetitive gripping activities, especially if they use the thumb and first two fingers.”

For most, the act of holding a smartphone while simultaneously manipulating the screen is routine. It’s also causing you a great deal of potential pain, as you’re asking muscles to work incorrectly all-day long."
